trainer,rank_singles_uncursed,rank_doubles_uncursed,rank_delta,rating_singles_uncursed,rating_doubles_uncursed,rating_delta,battles_singles_uncursed,battles_doubles_uncursed
MASKEDVILLAIN:Crimson#19,121,110,11,1976.84,2012.3,35.46,542,536
MASKEDVILLAIN:Crimson#22,21,10,11,2254.21,2276.78,22.57,542,536
MASKEDVILLAIN:Crimson#4,250,239,11,1582.6,1615.29,32.69,542,536
REPORTER:Helga,473,462,11,825.06,859.1,34.04,542,536
REPORTER:Pesha,315,326,-11,1429.28,1381.84,-47.44,542,536
TOURISTM:Chus,2,13,-11,2373.38,2256.33,-117.05,542,536
WORKER2:Hugo,350,361,-11,1319.9,1265.55,-54.35,542,536
YOUNGSTER3:Sorin,485,474,11,769.33,805.57,36.24,542,536
CHALLENGER_Vanya:Vanya#1,477,467,10,814.2,821.15,6.95,542,536
CHALLENGER_Vanya:Vanya#7,218,228,-10,1682.2,1660.01,-22.19,542,536
ELDER:Logun,30,40,-10,2215.0,2152.72,-62.28,542,536
FORMERCHAMP_Scilla:Scilla,18,28,-10,2256.9,2188.27,-68.63,542,536
FORMERCHAMP_Vincent:Vincent,41,31,10,2173.77,2182.63,8.86,540,536
MASKEDVILLAIN:Crimson#5,242,232,10,1609.22,1644.09,34.87,541,536
MASKEDVILLAIN_DOUBLE:Crimson#13,51,41,10,2154.21,2152.66,-1.55,541,536
MEDIUM:Paula,277,287,-10,1532.3,1502.94,-29.36,542,536
POKEMONMASTER_Vanya:Vanya#7,177,187,-10,1819.72,1782.56,-37.16,541,536
POKEMONTRAINER_Vanya:Vanya#2,12,2,10,2292.16,2338.33,46.17,542,536
RICHBOY2:Theodore,509,499,10,657.7,682.11,24.41,542,536
ROUGHNECK:Randall,395,385,10,1171.88,1191.36,19.48,542,536
SAGE:Rennyo#1,410,400,10,1117.58,1143.44,25.86,542,536
TEACHER:Hilde,467,457,10,845.09,872.37,27.28,542,536
TOURISTF:Mariana,462,472,-10,864.72,810.07,-54.65,542,536
TRAINER_Sang:Sang#3,182,172,10,1802.7,1813.18,10.48,542,536
WILDPARTY_KOKO:of Conflict,229,219,10,1649.39,1687.32,37.93,542,536
ANOTHERPOSSIBLETAMARIND:Tamarind#1,63,54,9,2118.68,2120.64,1.96,541,536
CAMPER_F:Tanya,303,294,9,1476.89,1482.56,5.67,541,536
CEO:Beatrice,347,356,-9,1319.9,1287.76,-32.14,542,536
CRIMINALTEAM:Gianna and Rocco,197,206,-9,1765.75,1723.5,-42.25,541,536
DRAGONTAMER:Georgius#1,373,382,-9,1249.59,1199.16,-50.43,541,536
IDEALTRAINER:of Conquest,151,142,9,1876.58,1927.25,50.67,541,536
LEADER_Bence:Bence#2,42,51,-9,2172.0,2122.53,-49.47,542,536
LOST_RANGER_PURPLE:Farid,220,229,-9,1674.97,1658.94,-16.03,541,536
MASKEDVILLAIN2:Teal#18,137,146,-9,1912.8,1910.52,-2.28,542,536
POKEMONMASTER_Vanya:Vanya#17,71,62,9,2104.15,2108.29,4.14,542,536
POKEMONTRAINER_Vanya:Vanya#1,16,25,-9,2269.13,2221.43,-47.7,542,536
RUINMANIAC2:Bernard,257,266,-9,1566.1,1552.54,-13.56,542,536
SCHOOLKID_M:Louis,506,497,9,668.2,694.63,26.43,542,536
TAPU_LELE:Tapu Lele,91,82,9,2054.38,2075.69,21.31,542,536
TRAINER_Zain:Zain,334,325,9,1382.59,1390.77,8.18,541,536
WILDPARTY_LELE:of Life,150,159,-9,1879.79,1843.89,-35.9,542,536
ANCIENTPRIEST:Dobromil,298,306,-8,1484.3,1454.81,-29.49,541,536
BATTLEGIRL2:Yumei,356,348,8,1296.85,1316.26,19.41,542,536
BEAUTY2:Enisa,468,476,-8,836.29,787.47,-48.82,542,536
BLACKBELT:Santiago,301,293,8,1477.87,1485.17,7.3,542,536
GUITARIST3:Jamie,380,372,8,1229.22,1233.48,4.26,542,536
LASS2:Faye,375,383,-8,1240.73,1199.16,-41.57,541,536
LEADER_Rafael:Rafael,430,422,8,1014.54,1034.16,19.62,542,536
MASKEDVILLAIN:Crimson#6,258,250,8,1562.04,1584.95,22.91,542,536
MASKEDVILLAIN:Crimson#9,225,217,8,1653.94,1697.85,43.91,542,536
POKEKID:Braden,474,482,-8,823.06,771.63,-51.43,542,536
POKEMONRANGER_M:Ivan,452,460,-8,893.22,859.1,-34.12,542,536
ROUGHNECK:Reese,368,376,-8,1254.77,1228.17,-26.6,542,536
RUINMANIAC:Matteo,309,317,-8,1448.27,1413.91,-34.36,542,536
SCHOOLKID_GHOST:Honesty,335,327,8,1381.74,1381.84,0.1,542,536
TEENAGERM:Burke,297,305,-8,1487.61,1460.04,-27.57,542,536
TRAINER_Alessa:Alessa#6,13,21,-8,2278.1,2232.57,-45.53,542,536
TRAINER_Keoni:Keoni#1,370,378,-8,1254.77,1218.38,-36.39,542,536
WAITRESS:Carmilla,413,405,8,1115.57,1135.27,19.7,542,536
YOUNGSTER:Buzim,318,310,8,1414.5,1446.48,31.98,541,536
ARTIFICIALTRAINER:Doppel,240,247,-7,1612.83,1598.67,-14.16,518,532
BACKPACKER_M:Freedom,475,468,7,819.8,819.05,-0.75,541,536
BATTLEGIRL3:Amelia,248,255,-7,1587.19,1575.69,-11.5,542,536
BIRDKEEPER_M2:Bernhard,396,403,-7,1163.99,1138.27,-25.72,542,536
BURGLAR:Keith,397,404,-7,1163.99,1135.27,-28.72,542,536
COOLTRAINER_M3:Dada,108,115,-7,2022.4,1996.2,-26.2,542,536
CYCLIST_F:Anastasia,359,352,7,1286.4,1298.16,11.76,542,536
CYCLIST_M:Mitron,456,463,-7,884.49,857.01,-27.48,542,536
EXPERTM:Hiroshi,213,220,-7,1696.08,1681.94,-14.14,541,536
LADY3:Kristiane,381,388,-7,1227.69,1187.45,-40.24,542,536
LOST_RANGER_GREEN:Farid,233,240,-7,1631.82,1612.93,-18.89,542,536
MASKEDVILLAIN2_DOUBLE:Teal#13,44,37,7,2171.9,2168.12,-3.78,541,536
MASKEDVILLAIN:Crimson#11,207,200,7,1716.71,1742.87,26.16,542,536
POKEMANIAC:Paris,436,443,-7,980.09,916.42,-63.67,542,536
POKEMONRANGER_F2:Amahle,472,479,-7,827.48,787.47,-40.01,542,536
POKEMONRANGER_F:Val,437,444,-7,977.31,916.42,-60.89,541,536
SWIMMER_M:Stannis,401,394,7,1148.04,1163.64,15.6,542,536
TRAINER_Eifion:Eifion,447,440,7,910.65,947.15,36.5,542,536
WORKER:Kevin,480,473,7,800.86,805.57,4.71,542,536
BACKPACKER_F:Aiyana,460,454,6,877.08,872.37,-4.71,541,536
BEAUTY5:Esme,167,161,6,1840.75,1835.38,-5.37,542,536
BEAUTY:Kryssa,341,347,-6,1357.81,1317.1,-40.71,542,536
BLACKBELT3:Philip,483,489,-6,773.88,738.58,-35.3,542,536
CAMERAMAN:Marcel,417,423,-6,1078.22,1029.85,-48.37,542,536
CHALLENGER_Vanya:Vanya#5,294,300,-6,1504.34,1472.92,-31.42,542,536
CLERK_M2:Marton,469,475,-6,836.29,792.01,-44.28,542,536
CLERK_M2:Papper,113,107,6,2014.82,2019.83,5.01,542,536
COOLTRAINER_F7:Jade,441,435,6,942.57,973.39,30.82,541,536
ELDER:Huy,291,285,6,1506.7,1512.47,5.77,542,536
FAIRYTALEGIRL:Emmi,40,46,-6,2182.64,2143.67,-38.97,542,536
FIREBREATHER:Bradley,313,319,-6,1437.24,1411.07,-26.17,542,536
FORMERCHAMP_Chara:Chara,53,47,6,2149.12,2143.67,-5.45,542,536
HARLEQUIN:Vincenzi#1,387,393,-6,1199.06,1163.64,-35.42,542,536
JOGGER:Georgio,440,446,-6,949.77,907.63,-42.14,542,536
MAID:Wendy,215,221,-6,1692.87,1681.94,-10.93,542,536
